run,t,x,y,heading,speed,turn_rate,left_spin,right_spin,left_encoder,right_encoder,gyro,left_noise,right_noise,gyro_noise,gyro_bias,severity_left,severity_right,severity_gyro,fault_mode
0,2.52,3.03027,-1.37412,-0.631646,1.2327,-0.132343,12.6247,12.0292,12.8854,12.027,-0.146564,0.130499,0.128117,0.0100397,0.000628651,0,0.362677,0,bias
0,2.54,3.05015,-1.38871,-0.634293,1.22689,-0.135532,12.5739,11.964,12.5786,12.027,-0.142897,0.130296,0.127856,0.0100407,0.000628651,0,0.362677,0,bias
0,2.56,3.06989,-1.40328,-0.637003,1.22106,-0.13883,12.5229,11.8982,12.5786,11.7202,-0.144432,0.130092,0.127593,0.0100416,0.000628651,0,0.362677,0,bias
0,2.58,3.0895,-1.41783,-0.63978,1.21519,-0.142233,12.4719,11.8318,12.2718,12.027,-0.133622,0.129888,0.127327,0.0100427,0.000628651,0,0.362677,0,bias
0,2.6,3.10898,-1.43237,-0.642625,1.20929,-0.145739,12.4208,11.7649,12.2718,11.7202,-0.150947,0.129683,0.12706,0.0100437,0.000628651,0,0.362677,0,bias
0,2.62,3.12832,-1.44689,-0.64554,1.20336,-0.149345,12.3696,11.6976,12.5786,11.7202,-0.132704,0.129478,0.12679,0.0100448,0.000628651,0,0.362677,0,bias
0,2.64,3.14752,-1.4614,-0.648526,1.19741,-0.153049,12.3184,11.6297,12.2718,11.7202,-0.14796,0.129274,0.126519,0.0100459,0.000628651,0,0.362677,0,bias
0,2.66,3.16659,-1.47589,-0.651587,1.19143,-0.156846,12.2672,11.5614,12.2718,11.7202,-0.17067,0.129069,0.126246,0.0100471,0.000628651,0,0.362677,0,bias
0,2.68,3.18551,-1.49037,-0.654724,1.18544,-0.160734,12.2161,11.4928,12.5786,11.4134,-0.150863,0.128864,0.125971,0.0100482,0.000628651,0,0.362677,0,bias
0,2.7,3.20429,-1.50484,-0.657939,1.17943,-0.16471,12.1649,11.4237,11.9651,11.7202,-0.167948,0.12866,0.125695,0.0100494,0.000628651,0,0.362677,0,bias
